n,k,comparisons,swaps
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,1,209,44
100,25,367,127
100,25,367,127
100,25,367,127
100,25,367,127
100,25,367,127
100,25,367,127
100,25,367,127
100,25,367,127
100,25,367,127
100,25,367,127
100,25,367,127
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,25,156,60
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,259,146
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,50,390,184
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,75,433,207
100,100,101,66
100,100,101,66
100,100,101,66
100,100,101,66
100,100,101,66
100,100,101,66
100,100,101,66
100,100,101,66
100,100,101,66
100,100,101,66
100,100,101,66
100,100,101,66
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
100,100,224,97
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,259,69
200,1,312,124
200,1,312,124
200,1,312,124
200,1,312,124
200,1,312,124
200,1,312,124
200,1,312,124
200,1,312,124
200,1,312,124
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,50,301,109
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,733,229
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,100,818,330
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,940,390
200,150,535,183
200,150,535,183
200,150,535,183
200,150,535,183
200,150,535,183
200,150,535,183
200,150,535,183
200,150,535,183
200,150,535,183
200,150,535,183
200,150,535,183
200,150,535,183
200,150,535,183
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
200,200,561,197
300,1,788,489
300,1,788,489
300,1,788,489
300,1,788,489
300,1,788,489
300,1,788,489
300,1,788,489
300,1,788,489
300,1,788,489
300,1,788,489
300,1,1079,737
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,1,573,288
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,1066,622
300,75,622,154
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,75,299,76
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,737,221
300,150,1263,912
300,150,1263,912
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
300,225,1166,873
