n,k,comparisons
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,1,291
100,25,231
100,25,231
100,25,231
100,25,231
100,25,231
100,25,231
100,25,231
100,25,231
100,25,231
100,25,231
100,25,231
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,25,256
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,275
100,50,286
100,50,286
100,50,286
100,50,286
100,50,286
100,50,286
100,50,286
100,50,286
100,50,286
100,50,286
100,50,286
100,50,286
100,50,286
100,50,286
100,50,286
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,75,207
100,100,249
100,100,249
100,100,249
100,100,249
100,100,249
100,100,249
100,100,249
100,100,249
100,100,249
100,100,249
100,100,249
100,100,249
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
100,100,265
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,553
200,1,560
200,1,560
200,1,560
200,1,560
200,1,560
200,1,560
200,1,560
200,1,560
200,1,560
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
200,50,568
