group,n,comparisons,time
3,100,821,9
3,100,821,29
3,100,821,9
3,100,821,9
3,100,821,8
3,100,821,10
3,100,821,9
3,100,821,9
3,100,821,9
3,100,821,11
3,100,934,11
3,100,934,14
3,100,934,13
3,100,934,10
3,100,934,10
3,100,934,14
3,100,934,10
3,100,934,10
3,100,934,10
3,100,934,10
3,100,934,11
3,100,934,14
3,100,934,10
3,100,934,13
3,100,934,10
3,100,934,11
3,100,934,11
3,100,934,10
3,100,934,11
3,100,934,13
3,100,934,13
3,100,934,11
3,100,934,10
3,100,934,10
3,100,934,10
3,100,934,10
3,100,934,10
3,100,934,10
3,100,934,10
3,100,934,10
3,100,934,11
3,100,934,9
3,100,934,10
3,100,934,9
3,100,934,9
3,100,934,10
3,100,934,11
3,100,934,11
3,100,934,10
3,100,934,10
3,1100,12330,99
3,1100,12330,101
3,1100,12330,99
3,1100,12330,99
3,1100,12330,154
3,1100,12330,164
3,1100,12330,114
3,1100,12330,114
3,1100,12330,115
3,1100,12330,115
3,1100,12330,109
3,1100,12330,114
3,1100,12330,114
3,1100,12330,154
3,1100,12330,116
3,1100,12330,111
3,1100,12330,116
3,1100,12330,153
3,1100,12330,111
3,1100,12330,99
3,1100,12330,113
3,1100,12330,115
3,1100,12330,114
3,1100,12330,111
3,1100,12330,114
3,1100,12330,114
3,1100,12330,97
3,1100,12330,98
3,1100,12330,115
3,1100,12330,154
3,1100,12330,154
3,1100,12330,114
3,1100,12330,111
3,1100,12330,111
3,1100,12330,115
3,1100,12330,155
3,1100,12330,154
3,1100,12330,155
3,1100,12330,113
3,1100,12330,114
3,1100,12330,114
3,1100,12330,114
3,1100,12330,113
3,1100,12330,111
3,1100,12330,112
3,1100,12330,113
3,1100,12330,113
3,1100,12330,99
3,1100,12330,114
3,1100,12330,114
3,2100,23596,224
3,2100,23596,217
3,2100,23596,219
3,2100,23596,304
3,2100,23596,217
3,2100,23596,221
3,2100,23596,211
3,2100,23596,216
3,2100,23596,187
3,2100,23596,219
3,2100,23596,217
3,2100,23596,227
3,2100,23596,227
3,2100,23596,213
3,2100,23596,284
3,2100,23596,213
3,2100,23596,292
3,2100,23596,208
3,2100,23596,212
3,2100,23596,185
3,2100,23596,293
3,2100,23596,191
3,2100,23596,199
3,2100,23596,313
3,2100,23596,193
3,2100,23596,186
3,2100,23596,499
3,2100,23596,214
3,2100,23596,220
3,2100,23596,268
3,2100,23596,213
3,2100,23596,216
3,2100,23596,209
3,2100,23596,217
3,2100,23596,214
3,2100,23596,208
3,2100,23596,209
3,2100,23596,211
3,2100,23596,208
3,2100,23596,214
3,2100,23596,215
3,2100,23596,213
3,2100,23596,269
3,2100,23596,212
3,2100,23596,220
3,2100,23596,212
3,2100,23596,216
3,2100,23596,214
3,2100,23596,218
3,2100,23596,216
3,3100,35949,319
3,3100,35949,314
3,3100,35949,364
3,3100,35007,439
3,3100,35007,307
3,3100,35007,308
3,3100,35007,423
3,3100,35007,309
3,3100,35007,307
3,3100,35007,305
3,3100,35007,308
3,3100,35007,496
3,3100,35007,306
3,3100,35007,309
3,3100,35007,308
3,3100,35007,305
3,3100,35007,309
3,3100,35007,304
3,3100,35007,304
3,3100,35007,310
3,3100,35007,312
3,3100,35007,310
3,3100,35007,306
3,3100,35007,307
3,3100,35007,305
3,3100,35007,372
3,3100,35007,308
3,3100,35007,476
3,3100,35007,301
3,3100,35007,304
3,3100,35007,302
3,3100,35007,309
3,3100,35007,309
3,3100,35007,302
3,3100,35007,307
3,3100,35007,308
3,3100,35007,311
3,3100,35007,442
3,3100,35007,311
3,3100,35007,308
3,3100,35007,357
3,3100,35007,313
3,3100,35007,458
3,3100,35007,307
3,3100,35007,303
3,3100,35007,316
3,3100,35007,310
3,3100,35007,407
3,3100,35007,306
3,3100,35007,311
3,4100,48587,425
3,4100,48587,438
3,4100,48587,483
3,4100,48587,421
3,4100,48587,445
3,4100,48587,474
3,4100,48587,452
3,4100,48587,399
3,4100,48587,828
3,4100,48587,454
3,4100,48587,454
3,4100,48587,456
3,4100,48587,457
3,4100,48587,444
3,4100,48587,455
3,4100,48587,460
3,4100,48587,428
3,4100,48587,460
3,4100,48587,475
3,4100,48587,433
3,4100,48587,432
3,4100,48587,556
3,4100,48587,478
3,4100,48587,389
3,4100,48587,376
3,4100,48587,437
3,4100,48587,430
3,4100,48587,589
3,4100,48587,431
3,4100,48587,585
3,4100,48587,427
3,4100,48587,434
3,4100,48587,550
3,4100,48587,426
3,4100,48587,431
3,4100,48587,425
3,4100,48587,435
3,4100,48587,446
3,4100,48587,435
3,4100,48587,426
3,4100,48587,426
3,4100,48587,424
3,4100,48587,637
3,4100,48587,436
3,4100,48587,429
3,4100,48587,432
3,4100,48587,434
3,4100,48587,483
3,4100,48587,429
3,4100,48587,446
3,5100,61804,557
3,5100,61804,623
3,5100,61804,573
3,5100,61804,539
3,5100,61804,541
3,5100,61804,544
3,5100,61804,550
3,5100,61804,522
3,5100,61804,544
3,5100,61804,684
3,5100,61804,534
3,5100,61804,541
3,5100,61804,554
3,5100,61804,546
3,5100,61804,541
3,5100,61804,546
3,5100,61804,497
3,5100,61804,595
3,5100,61804,571
3,5100,61804,545
3,5100,61804,536
3,5100,61804,537
3,5100,61804,530
3,5100,61804,531
3,5100,61804,550
3,5100,61804,551
3,5100,61804,568
3,5100,61804,537
3,5100,61804,533
3,5100,61804,539
3,5100,61804,534
3,5100,60820,527
3,5100,60820,847
