n,group,comparisons,swaps,rec_calls,time_ms
100,3,199,99,6,.00492756000000000000
200,3,392,193,8,.00786172000000000000
300,3,606,306,8,.01102062000000000000
400,3,788,389,9,.01436390000000000000
500,3,982,483,9,.01846000000000000000
600,3,1170,570,8,.02116186000000000000
700,3,1395,696,10,.02509066000000000000
800,3,1608,808,8,.02817644000000000000
900,3,1788,889,10,.03024860000000000000
1000,3,2013,1014,10,.03385886000000000000
1100,3,2180,1081,12,.03638448000000000000
1200,3,2420,1221,11,.04098020000000000000
1300,3,2607,1308,11,.04311060000000000000
1400,3,2795,1395,10,.04976338000000000000
1500,3,2970,1471,10,.05197864000000000000
1600,3,3219,1620,11,.05543314000000000000
1700,3,3412,1712,11,.05910476000000000000
1800,3,3617,1818,12,.06242314000000000000
1900,3,3817,1918,12,.06371140000000000000
2000,3,3986,1987,10,.06645934000000000000
2100,3,4233,2134,12,.07101374000000000000
2200,3,4362,2163,12,.07396218000000000000
2300,3,4565,2266,12,.07939628000000000000
2400,3,4727,2328,12,.07974228000000000000
2500,3,4995,2496,12,.08435198000000000000
2600,3,5243,2643,10,.08937738000000000000
2700,3,5516,2817,13,.09283846000000000000
2800,3,5653,2854,12,.09606536000000000000
2900,3,5784,2885,12,.09948076000000000000
3000,3,6009,3010,12,.10267886000000000000
3100,3,6140,3041,12,.10440692000000000000
3200,3,6410,3211,12,.10897728000000000000
3300,3,6607,3308,12,.11312450000000000000
3400,3,6833,3434,13,.11804736000000000000
3500,3,7090,3591,13,.12248046000000000000
3600,3,7169,3570,12,.12393414000000000000
3700,3,7368,3669,13,.12664284000000000000
3800,3,7489,3689,11,.13181756000000000000
3900,3,7770,3871,13,.13487196000000000000
4000,3,8024,4025,12,.13722900000000000000
4100,3,8121,4022,13,.13754998000000000000
4200,3,8498,4299,13,.14515908000000000000
4300,3,8585,4285,12,.14844646000000000000
4400,3,8856,4457,13,.15193038000000000000
4500,3,9011,4512,13,.15476762000000000000
4600,3,9235,4636,13,.15910716000000000000
4700,3,9469,4770,12,.16524804000000000000
4800,3,9551,4752,12,.16629294000000000000
4900,3,9863,4964,13,.17105892000000000000
5000,3,9908,4909,13,.17020072000000000000
5100,3,10192,5093,14,.17362302000000000000
5200,3,10472,5273,13,.18150312000000000000
5300,3,10628,5329,13,.18363792000000000000
5400,3,10871,5471,12,.18751552000000000000
5500,3,10886,5387,14,.18851808000000000000
5600,3,11136,5536,12,.19377570000000000000
5700,3,11476,5777,13,.20298950000000000000
5800,3,11564,5765,13,.20127328000000000000
5900,3,11849,5950,14,.20443668000000000000
6000,3,11921,5922,13,.20675876000000000000
6100,3,12234,6135,14,.21306242000000000000
6200,3,12252,6053,13,.21402738000000000000
6300,3,12524,6224,11,.21978994000000000000
6400,3,12799,6399,13,.22414774000000000000
6500,3,12947,6448,12,.22958538000000000000
6600,3,13244,6645,13,.23514328000000000000
6700,3,13396,6697,13,.23297664000000000000
6800,3,13579,6780,13,.23984698000000000000
6900,3,13791,6891,13,.24104012000000000000
7000,3,13952,6953,14,.24568730000000000000
7100,3,14114,7015,12,.24914084000000000000
7200,3,14527,7327,12,.25555422000000000000
7300,3,14543,7243,13,.25782756000000000000
7400,3,14712,7313,13,.25953680000000000000
7500,3,15015,7516,13,.26481074000000000000
7600,3,15194,7595,14,.27009776000000000000
7700,3,15543,7844,13,.27518496000000000000
7800,3,15679,7880,13,.27352586000000000000
7900,3,15805,7906,14,.27844672000000000000
8000,3,16011,8012,14,.28495032000000000000
8100,3,16171,8071,13,.28335612000000000000
8200,3,16440,8241,14,.28744646000000000000
8300,3,16551,8252,13,.29459294000000000000
8400,3,16797,8398,14,.29660588000000000000
8500,3,17020,8520,13,.30303010000000000000
8600,3,17199,8600,15,.30520598000000000000
8700,3,17413,8714,13,.30574722000000000000
8800,3,17598,8799,14,.31189484000000000000
8900,3,17801,8902,15,.31373920000000000000
9000,3,17877,8878,12,.31962558000000000000
9100,3,18055,8956,13,.31744994000000000000
9200,3,18390,9191,14,.32329230000000000000
9300,3,18580,9281,13,.32970736000000000000
9400,3,18767,9367,12,.33016262000000000000
9500,3,19026,9527,13,.33858440000000000000
9600,3,19309,9710,14,.34007178000000000000
9700,3,19482,9782,13,.34803146000000000000
9800,3,19559,9760,14,.34350886000000000000
9900,3,19880,9981,13,.35133702000000000000
10000,3,19965,9965,13,.35696950000000000000
10100,3,20169,10070,14,.35851330000000000000
10200,3,20414,10215,14,.36228832000000000000
10300,3,20692,10392,13,.36675104000000000000
10400,3,20622,10223,13,.36242182000000000000
10500,3,20961,10462,14,.37330016000000000000
10600,3,21210,10611,14,.37566974000000000000
10700,3,21322,10622,13,.38367722000000000000
10800,3,21581,10781,13,.38611370000000000000
10900,3,21732,10833,13,.38834498000000000000
11000,3,22141,11142,13,.39354522000000000000
11100,3,22350,11251,14,.41670142000000000000
11200,3,22468,11269,14,.40434756000000000000
11300,3,22560,11261,14,.40571540000000000000
11400,3,22922,11523,14,.41120796000000000000
11500,3,23045,11546,14,.41178638000000000000
11600,3,23172,11573,14,.41876076000000000000
11700,3,23409,11710,14,.41797138000000000000
11800,3,23662,11863,14,.42215932000000000000
11900,3,23654,11755,14,.42428250000000000000
12000,3,24140,12141,14,.43980248000000000000
12100,3,24185,12086,13,.43601456000000000000
12200,3,24304,12104,13,.43623360000000000000
12300,3,24504,12204,13,.43823344000000000000
12400,3,24796,12396,14,.44568370000000000000
12500,3,25010,12510,13,.45344196000000000000
12600,3,25101,12502,14,.45292654000000000000
12700,3,25444,12744,14,.46340046000000000000
12800,3,25594,12795,14,.45695070000000000000
12900,3,25722,12823,14,.46443958000000000000
13000,3,25942,12943,14,.47078012000000000000
13100,3,26172,13073,14,.47005492000000000000
13200,3,26515,13316,14,.47858758000000000000
13300,3,26579,13280,15,.48328486000000000000
13400,3,26693,13293,13,.48924952000000000000
13500,3,26985,13485,13,.49044952000000000000
13600,3,27280,13681,14,.48970188000000000000
13700,3,27259,13560,14,.49607676000000000000
13800,3,27666,13867,15,.50374702000000000000
13900,3,27712,13812,13,.50534260000000000000
14000,3,28091,14091,12,.51116334000000000000
14100,3,28232,14133,14,.51191564000000000000
14200,3,28545,14346,15,.51641016000000000000
14300,3,28401,14102,14,.51759862000000000000
14400,3,28792,14393,15,.52409424000000000000
14500,3,29083,14583,14,.52185610000000000000
14600,3,28957,14357,13,.52387766000000000000
14700,3,29526,14827,15,.53650928000000000000
14800,3,29453,14653,13,.53586640000000000000
14900,3,29875,14976,14,.53759388000000000000
15000,3,30188,15189,14,.55749786000000000000
15100,3,30087,14988,14,.55165526000000000000
15200,3,30444,15244,13,.55163052000000000000
15300,3,30606,15307,14,.56082188000000000000
15400,3,30822,15423,14,.55624148000000000000
15500,3,30843,15344,14,.58127866000000000000
15600,3,31100,15501,14,.56120246000000000000
15700,3,31349,15650,14,.56980940000000000000
15800,3,31608,15809,16,.55928864000000000000
15900,3,31806,15907,14,.54346050000000000000
16000,3,31911,15912,14,.54296674000000000000
16100,3,32263,16164,14,.55477942000000000000
16200,3,32250,16051,14,.55421076000000000000
16300,3,32576,16277,15,.58677814000000000000
16400,3,32962,16563,15,.60181184000000000000
16500,3,33179,16680,14,.60462030000000000000
16600,3,33339,16740,14,.60475524000000000000
16700,3,33321,16622,14,.61173016000000000000
16800,3,33706,16907,15,.61618488000000000000
16900,3,33923,17024,14,.61521948000000000000
17000,3,33920,16920,14,.61984276000000000000
17100,3,34235,17136,14,.62957862000000000000
17200,3,34354,17155,15,.62622250000000000000
17300,3,34669,17369,13,.62996316000000000000
17400,3,34836,17436,13,.63668616000000000000
17500,3,34896,17397,14,.62236258000000000000
17600,3,35199,17599,14,.63431792000000000000
17700,3,35372,17672,14,.63202112000000000000
17800,3,35474,17674,13,.63850754000000000000
17900,3,35809,17910,15,.64783538000000000000
18000,3,35884,17885,14,.65026808000000000000
18100,3,36365,18265,13,.66113052000000000000
18200,3,36411,18212,16,.66864298000000000000
18300,3,36480,18181,15,.66835476000000000000
18400,3,36842,18442,13,.67744124000000000000
18500,3,37151,18652,15,.68603128000000000000
18600,3,37280,18681,15,.67918938000000000000
18700,3,37421,18721,15,.68894182000000000000
18800,3,37661,18862,16,.69715778000000000000
18900,3,37772,18873,15,.69994466000000000000
19000,3,38115,19116,14,.69872582000000000000
19100,3,38210,19111,15,.69767374000000000000
19200,3,38208,19008,14,.70110910000000000000
19300,3,38474,19175,15,.70700006000000000000
19400,3,38806,19407,16,.71516524000000000000
19500,3,38934,19435,14,.71301892000000000000
19600,3,39105,19506,15,.71562736000000000000
19700,3,39131,19432,14,.71535872000000000000
19800,3,39651,19851,14,.74653292000000000000
19900,3,39744,19845,13,.73222182000000000000
20000,3,39839,19839,13,.73157248000000000000
20100,3,40054,19954,13,.73006076000000000000
20200,3,40348,20148,14,.75130940000000000000
20300,3,40630,20330,14,.75139816000000000000
20400,3,40817,20418,15,.74139596000000000000
20500,3,41062,20562,14,.76539652000000000000
20600,3,40957,20358,15,.75090884000000000000
20700,3,41300,20600,13,.75806038000000000000
20800,3,41977,21178,15,.76803494000000000000
20900,3,41884,20984,14,.77047374000000000000
21000,3,41915,20915,15,.76666054000000000000
21100,3,41990,20891,15,.77410282000000000000
21200,3,42383,21184,15,.78506922000000000000
21300,3,42608,21309,15,.78861896000000000000
21400,3,42725,21326,16,.78990014000000000000
21500,3,43140,21641,15,.79788124000000000000
21600,3,43043,21443,14,.79360142000000000000
21700,3,43433,21734,15,.81734970000000000000
21800,3,43875,22076,14,.81487642000000000000
21900,3,43691,21792,14,.81975894000000000000
22000,3,43888,21889,15,.80927802000000000000
22100,3,44098,21999,15,.81496302000000000000
22200,3,44424,22225,16,.82003134000000000000
22300,3,44654,22354,14,.82734078000000000000
22400,3,44760,22361,15,.82747034000000000000
22500,3,44970,22471,15,.84082360000000000000
22600,3,45363,22764,15,.84258134000000000000
22700,3,45315,22616,16,.84605572000000000000
22800,3,45752,22953,14,.85852290000000000000
22900,3,45737,22837,14,.84870832000000000000
23000,3,45722,22723,15,.85358350000000000000
23100,3,46181,23082,15,.85058010000000000000
23200,3,46427,23228,16,.85854582000000000000
23300,3,46442,23142,14,.86122450000000000000
23400,3,46926,23527,16,.87328512000000000000
23500,3,46917,23418,15,.86638314000000000000
23600,3,47049,23450,14,.87749834000000000000
23700,3,47450,23751,15,.87575516000000000000
23800,3,47675,23876,15,.88105002000000000000
23900,3,47833,23934,15,.89282922000000000000
24000,3,48118,24119,15,.90772062000000000000
24100,3,48352,24253,15,.89323438000000000000
24200,3,48409,24210,15,.89333668000000000000
24300,3,48569,24270,15,.91293904000000000000
24400,3,48507,24108,15,.89590144000000000000
24500,3,49035,24535,15,.91117920000000000000
24600,3,49353,24754,16,.92830242000000000000
24700,3,49296,24597,16,.92228674000000000000
24800,3,49589,24790,15,.92731088000000000000
24900,3,49619,24719,15,.92035104000000000000
25000,3,49952,24952,14,.93434096000000000000
25100,3,50261,25162,15,.93335070000000000000
25200,3,50191,24992,16,.93761568000000000000
25300,3,50661,25362,15,.95098738000000000000
25400,3,50781,25382,15,.94216110000000000000
25500,3,50888,25388,14,.94223240000000000000
25600,3,51244,25645,15,.94021022000000000000
25700,3,51532,25833,15,.96038752000000000000
25800,3,51469,25670,15,.94349976000000000000
25900,3,51803,25904,15,.96319222000000000000
26000,3,52002,26002,14,.95880610000000000000
26100,3,52090,25990,14,.95350170000000000000
26200,3,52378,26179,15,.98628142000000000000
26300,3,52532,26233,16,.97323316000000000000
26400,3,52839,26440,14,.98597018000000000000
26500,3,53026,26526,14,.98825858000000000000
26600,3,53206,26606,14,.98748404000000000000
26700,3,53424,26725,15,1.00014198000000000000
26800,3,53610,26811,15,.99607632000000000000
26900,3,53795,26896,15,1.00126544000000000000
27000,3,53930,26931,16,1.00109956000000000000
27100,3,54141,27042,16,1.00059694000000000000
27200,3,54320,27121,15,1.00216686000000000000
27300,3,54649,27349,14,1.01959348000000000000
27400,3,54806,27407,15,1.02079100000000000000
27500,3,55049,27550,15,1.01850172000000000000
27600,3,55266,27667,14,1.02406366000000000000
27700,3,55209,27509,14,1.04048258000000000000
27800,3,55643,27844,15,1.03257016000000000000
27900,3,56014,28115,15,1.05997200000000000000
28000,3,55975,27976,15,1.04984480000000000000
28100,3,55990,27890,14,1.03585840000000000000
28200,3,56456,28257,15,1.06277920000000000000
28300,3,56527,28228,17,1.05612980000000000000
28400,3,57008,28609,15,1.07114220000000000000
28500,3,56881,28382,15,1.06304880000000000000
28600,3,57472,28873,15,1.06536460000000000000
28700,3,57287,28588,15,1.06051660000000000000
28800,3,57462,28663,14,1.07007760000000000000
28900,3,57768,28868,15,1.07623240000000000000
29000,3,57927,28928,15,1.08164540000000000000
29100,3,58332,29233,15,1.09423280000000000000
29200,3,58379,29180,15,1.09937100000000000000
29300,3,58762,29463,15,1.10006680000000000000
29400,3,59052,29653,15,1.11248360000000000000
29500,3,58835,29336,15,1.10541660000000000000
29600,3,59165,29566,15,1.10114620000000000000
29700,3,59489,29790,15,1.10889160000000000000
29800,3,59658,29859,14,1.10954600000000000000
29900,3,59762,29862,14,1.12194520000000000000
30000,3,59743,29743,15,1.13196560000000000000
30100,3,60036,29937,16,1.12405860000000000000
30200,3,60426,30227,14,1.12891220000000000000
30300,3,60497,30198,15,1.12440640000000000000
30400,3,60744,30345,15,1.14131640000000000000
30500,3,61078,30578,14,1.14079340000000000000
30600,3,61416,30816,16,1.15050160000000000000
30700,3,61119,30420,15,1.14109000000000000000
30800,3,61710,30911,15,1.15579500000000000000
30900,3,62005,31105,15,1.15466720000000000000
31000,3,61873,30873,14,1.14959160000000000000
31100,3,61685,30586,15,1.14940740000000000000
31200,3,62490,31291,15,1.17492240000000000000
31300,3,62824,31525,16,1.15697080000000000000
31400,3,62917,31518,15,1.17568300000000000000
31500,3,62716,31217,15,1.16226260000000000000
31600,3,63105,31506,16,1.16936860000000000000
31700,3,63516,31817,16,1.18084460000000000000
31800,3,63906,32107,15,1.18721580000000000000
31900,3,63797,31898,16,1.19180680000000000000
32000,3,64190,32191,15,1.17847180000000000000
32100,3,64306,32207,15,1.20746980000000000000
32200,3,64589,32390,15,1.20757040000000000000
32300,3,64710,32411,15,1.21094480000000000000
32400,3,64663,32263,15,1.20560180000000000000
32500,3,65023,32524,16,1.20923380000000000000
32600,3,65263,32664,17,1.21879740000000000000
32700,3,65686,32986,15,1.20983460000000000000
32800,3,65465,32665,14,1.22268460000000000000
32900,3,65979,33080,15,1.22426440000000000000
33000,3,66162,33163,16,1.24165300000000000000
33100,3,66115,33015,14,1.22683680000000000000
33200,3,66347,33148,15,1.24172560000000000000
33300,3,66398,33098,15,1.22251940000000000000
33400,3,67269,33869,15,1.25428020000000000000
33500,3,67007,33508,16,1.24833800000000000000
33600,3,67177,33578,15,1.25820680000000000000
33700,3,67164,33465,15,1.24207820000000000000
33800,3,67624,33825,16,1.26517740000000000000
33900,3,67640,33741,15,1.24108140000000000000
34000,3,67833,33834,16,1.23237300000000000000
34100,3,68212,34113,16,1.24001500000000000000
34200,3,68413,34214,16,1.25992780000000000000
