n,smart,binary
1000,10,10
2000,11,11
3000,12,12
4000,10,10
5000,12,12
6000,13,13
7000,11,10
8000,13,13
9000,13,13
10000,11,11
11000,12,12
12000,13,10
13000,11,11
14000,13,13
15000,13,12
16000,11,14
17000,14,13
18000,12,14
19000,13,14
20000,14,15
21000,8,14
22000,12,14
23000,13,13
24000,14,14
25000,14,13
26000,14,11
27000,13,13
28000,14,11
29000,13,12
30000,6,14
31000,14,12
32000,9,14
33000,14,14
34000,11,15
35000,8,15
36000,13,15
37000,15,14
38000,14,15
39000,13,12
40000,15,15
41000,14,9
42000,12,16
43000,14,16
44000,11,16
45000,11,15
46000,10,15
47000,14,15
48000,15,13
49000,15,16
50000,15,16
51000,15,16
52000,14,16
53000,14,15
54000,14,15
55000,14,16
56000,9,16
57000,15,16
58000,15,16
59000,15,16
60000,13,16
61000,15,15
62000,14,12
63000,14,11
64000,14,14
65000,15,14
66000,15,16
67000,15,14
68000,14,16
69000,15,15
70000,16,16
71000,15,15
72000,14,15
73000,15,17
74000,15,16
75000,15,14
76000,14,16
77000,15,17
78000,15,17
79000,15,16
80000,13,16
81000,15,16
82000,13,16
83000,14,16
84000,14,15
85000,11,17
86000,14,15
87000,9,13
88000,13,16
89000,14,15
90000,15,15
91000,14,14
92000,16,15
93000,13,16
94000,14,15
95000,16,16
96000,16,14
97000,12,17
98000,12,16
99000,10,16
100000,13,15
101000,16,17
102000,15,14
103000,15,14
104000,15,17
105000,14,17
106000,15,15
107000,13,14
108000,13,16
109000,13,16
110000,14,16
111000,12,17
112000,15,17
113000,13,17
114000,14,15
115000,16,16
116000,14,17
117000,15,13
118000,14,16
119000,14,16
120000,16,17
121000,11,17
122000,16,17
123000,14,17
124000,14,14
125000,13,17
126000,14,14
127000,15,17
128000,13,15
129000,16,17
130000,14,17
131000,14,17
132000,15,17
133000,15,16
134000,16,16
135000,15,15
136000,14,17
137000,15,17
138000,15,15
139000,15,17
140000,15,15
141000,16,14
142000,16,16
143000,15,16
144000,13,17
145000,16,16
146000,15,15
147000,14,17
148000,16,16
149000,16,16
150000,16,18
151000,15,17
152000,15,15
153000,15,17
154000,16,17
155000,16,15
156000,13,17
157000,13,17
158000,16,14
159000,13,14
160000,14,13
161000,16,15
162000,16,16
163000,16,13
164000,15,17
165000,15,17
166000,13,14
167000,16,17
168000,10,14
169000,15,17
170000,15,16
171000,15,17
172000,15,16
173000,14,17
174000,15,18
175000,15,18
176000,14,18
177000,14,17
178000,14,17
179000,16,14
180000,13,18
181000,15,18
182000,14,17
183000,16,15
184000,14,15
185000,14,16
186000,15,18
187000,9,18
188000,12,16
189000,13,18
190000,16,16
191000,14,17
192000,15,16
193000,16,17
194000,14,17
195000,15,16
196000,13,17
197000,16,17
198000,16,15
199000,9,17
200000,14,15
201000,14,16
202000,16,14
203000,15,16
204000,13,15
205000,14,17
206000,12,17
207000,12,18
208000,13,18
209000,16,15
210000,16,18
211000,15,14
212000,15,18
213000,15,17
214000,15,16
215000,15,14
216000,14,18
217000,15,16
218000,13,16
219000,13,18
220000,16,17
221000,15,16
222000,13,18
223000,16,16
224000,16,15
225000,14,11
226000,15,18
227000,15,16
228000,14,17
229000,16,18
230000,13,17
231000,17,17
232000,16,15
233000,16,18
234000,14,14
235000,15,16
236000,15,17
237000,16,18
238000,16,18
239000,11,18
240000,16,18
241000,12,18
242000,16,17
243000,16,18
244000,17,16
245000,15,14
246000,16,18
247000,16,17
248000,16,16
249000,16,17
250000,15,16
251000,15,18
252000,14,14
253000,15,17
254000,15,18
255000,16,15
256000,15,18
257000,16,14
258000,11,18
259000,15,15
260000,16,17
261000,14,16
262000,17,18
263000,15,18
264000,12,18
265000,15,18
266000,14,18
267000,17,18
268000,15,18
269000,16,17
270000,16,17
271000,16,18
272000,14,16
273000,17,18
274000,15,18
275000,15,17
276000,13,14
277000,15,18
278000,12,15
279000,14,16
280000,15,18
281000,10,18
282000,16,18
283000,15,16
284000,15,18
285000,14,14
286000,15,18
287000,17,16
288000,15,18
289000,16,18
290000,13,19
291000,13,17
292000,15,18
293000,16,18
294000,17,17
295000,16,18
296000,16,17
297000,14,18
298000,14,18
299000,16,18
300000,13,17
