scenario,n,avgComp,maxComp,avgPointerOps,maxPointerOps,avgHeight,maxHeight
1,10000,17.4155,19083,84.3993,90631,2518.48,10000
1,20000,18.9092,37755,91.8996,179323,5020.62,20000
1,30000,19.7835,58889,96.2739,279711,7521.51,30000
1,40000,20.3879,76015,99.3038,361058,10022.6,40000
1,50000,20.8772,97789,101.76,464486,12523,50000
1,60000,21.2596,114303,103.662,542926,15024.2,60000
1,70000,21.5993,138375,105.354,657268,17524.1,70000
1,80000,21.8819,158203,106.78,751451,20023.9,80000
1,90000,22.1287,160921,108.009,764363,22525.1,90000
1,100000,22.3477,199041,109.106,945433,25026,100000
2,10000,23.3771,79,151.229,379,29.4869,48
2,20000,25.5599,79,165.762,418,32.5694,51
2,30000,26.818,87,174.192,470,34.3737,55
2,40000,27.7284,87,180.274,459,35.6658,57
2,50000,28.4279,91,184.926,469,36.6072,57
2,60000,28.9982,93,188.726,491,37.4525,59
2,70000,29.4864,95,191.984,470,38.1368,60
2,80000,29.9049,93,194.772,529,38.704,61
2,90000,30.2756,103,197.244,510,39.228,60
2,100000,30.6094,103,199.457,499,39.7315,62
