n,prim,kruskal
1000,0.00163639,0.0230438
1100,0.0020471,0.0283333
1200,0.00244804,0.0342487
1300,0.00283302,0.0405739
1400,0.00334224,0.0479411
1500,0.00393671,0.110104
1600,0.00450684,0.0645753
1700,0.0049788,0.0737822
1800,0.00524938,0.0771963
1900,0.00570547,0.0854518
2000,0.00650873,0.0997321
2100,0.00738574,0.112691
2200,0.00800788,0.124717
2300,0.00884726,0.137881
2400,0.00973909,0.15388
2500,0.00961108,0.15356
2600,0.0108318,0.173121
2700,0.0119963,0.194041
2800,0.0131049,0.21384
2900,0.0133217,0.216142
3000,0.0144634,0.238541
3100,0.0159498,0.317257
3200,0.016242,0.269452
3300,0.0174616,0.291774
3400,0.0194606,0.325386
3500,0.0191893,0.322582
3600,0.0212006,0.411942
3700,0.0216275,0.36676
3800,0.0235686,0.459068
3900,0.0241913,0.411782
4000,0.0261503,0.448527
4100,0.0295862,0.555193
4200,0.0281547,0.483213
4300,0.0296087,0.554061
4400,0.0321991,0.601866
4500,0.0329592,0.566359
4600,0.0345159,0.607005
4700,0.0365393,0.671878
4800,0.038034,0.70816
4900,0.0397951,0.734749
5000,0.041806,0.766381
5100,0.0436967,0.794496
5200,0.0448135,0.82477
5300,0.0478139,0.840935
5400,0.050329,0.87109
5500,0.0523211,0.935945
5600,0.0547172,1.01368
5700,0.0567285,0.991259
5800,0.0586555,1.03391
5900,0.0608419,1.06329
6000,0.0640841,1.10596
6100,0.065715,1.10277
6200,0.0692921,1.18874
6300,0.0727624,1.22607
6400,0.0747434,1.31598
6500,0.0778715,1.25936
6600,0.0818154,1.39627
6700,0.0837873,1.39186
6800,0.0853584,1.36726
6900,0.128527,1.45687
7000,0.0924811,1.53967
7100,0.0943091,1.54071
7200,0.0972203,1.62422
7300,0.100603,1.67437
7400,0.103967,1.7199
7500,0.150708,1.73774
7600,0.111759,1.79062
7700,0.113564,1.88396
7800,0.118752,2.00841
7900,0.12191,1.99787
8000,0.126295,2.06967
8100,0.129087,2.03789
8200,0.133764,2.19616
8300,0.244885,2.08899
8400,0.141175,2.31016
8500,0.149367,2.42075
8600,0.152977,2.36013
8700,0.201338,3.12596
8800,0.177248,2.85879
8900,0.177149,2.89383
9000,0.181515,3.04638
9100,0.185729,3.0784
9200,0.193073,3.11184
9300,0.181877,2.8686
9400,0.1991,3.04063
9500,0.19289,2.93165
9600,0.272664,3.14227
9700,0.209883,3.26136
9800,0.206758,3.16647
9900,0.213338,3.31203
10000,0.228772,3.53408
