n,min,avg,max
1000,29,49.4667,71
1100,34,51.4,80
1200,41,56.5333,80
1300,38,53.9667,73
1400,35,59.2,95
1500,36,54.7667,75
1600,41,61.1,89
1700,43,60,95
1800,47,64.3333,104
1900,46,65.2333,95
2000,41,66.3333,114
2100,46,70.3667,102
2200,46,69.7333,99
2300,50,73.6667,116
2400,50,74.8,112
2500,46,75.4,116
2600,50,74,117
2700,44,76.5333,133
2800,49,78.8667,110
2900,49,74.4667,128
3000,48,82.1,131
3100,53,77.5333,99
3200,53,83.6,120
3300,65,82.9333,134
3400,58,83.5,127
3500,59,85.6333,114
3600,58,85.2,113
3700,57,88,131
3800,49,87.3667,120
3900,62,90.7333,135
4000,53,88.6,149
4100,58,84.3,125
4200,61,90.8667,127
4300,56,87.3333,124
4400,56,87.6,116
4500,72,92.7,121
4600,57,90.2333,121
4700,71,91.6333,124
4800,66,94.0667,124
4900,69,91.1,152
5000,61,94.9667,121
5100,61,96.5333,134
5200,66,93.8667,133
5300,62,104.433,151
5400,62,95.2667,159
5500,73,104.4,169
5600,67,99.5,148
5700,67,99.9,145
5800,66,89.9667,126
5900,73,104,150
6000,72,101.533,171
6100,65,104.333,197
6200,77,101.7,136
6300,79,104.767,143
6400,78,105.167,139
6500,68,106.133,142
6600,80,108.1,151
6700,74,109.367,165
6800,72,104.467,151
6900,66,105.633,146
7000,76,102.233,155
7100,81,107.5,178
7200,68,115.067,163
7300,77,108.533,152
7400,77,106.733,137
7500,72,112.067,177
7600,72,112.2,151
7700,75,118.2,171
7800,74,118.7,160
7900,77,114.1,160
8000,72,112.867,163
8100,72,116.8,189
8200,75,113.9,173
8300,68,107.267,181
8400,75,110.233,175
8500,81,126.167,192
8600,81,117.633,216
8700,81,120.733,165
8800,82,114.5,190
8900,79,113.667,155
9000,88,120.333,159
9100,83,121,179
9200,91,123.6,180
9300,66,120.833,184
9400,70,117.467,224
9500,73,117.067,184
9600,84,117.8,154
9700,81,121.233,170
9800,74,119.2,166
9900,87,122.7,219
10000,83,126.633,168
