mn,m,n,found,comparisons
100,10,10,1,6
100,10,10,0,10
100,10,10,0,14
100,10,10,1,12
100,10,10,1,5
100,10,10,0,10
100,10,10,1,2
100,10,10,1,7
100,10,10,1,1
100,10,10,1,3
100,10,10,1,15
100,10,10,1,14
100,10,10,1,10
100,10,10,1,10
100,10,10,1,10
100,10,10,0,10
100,10,10,0,10
100,10,10,1,11
100,10,10,1,10
100,10,10,1,9
100,10,10,0,10
100,10,10,0,11
100,10,10,0,17
100,10,10,0,10
100,10,10,1,11
100,10,10,0,10
100,10,10,0,10
100,10,10,0,17
100,10,10,0,17
100,10,10,1,8
100,10,10,1,13
100,10,10,0,10
100,10,10,0,10
100,10,10,0,10
100,10,10,1,9
100,10,10,1,6
100,10,10,1,7
100,10,10,0,10
100,10,10,0,10
100,10,10,0,10
100,10,10,1,4
100,10,10,0,10
100,10,10,0,10
100,10,10,1,7
100,10,10,1,6
100,10,10,0,16
100,10,10,1,14
100,10,10,1,9
100,10,10,0,10
100,10,10,1,8
100,10,10,1,8
100,10,10,0,10
100,10,10,0,12
100,10,10,1,13
100,10,10,1,14
100,10,10,0,10
100,10,10,0,10
100,10,10,0,10
100,10,10,1,11
100,10,10,1,10
100,10,10,0,10
100,10,10,0,10
100,10,10,0,12
100,10,10,1,13
100,10,10,1,10
100,10,10,1,7
100,10,10,1,5
100,10,10,0,10
100,10,10,0,12
100,10,10,1,6
100,10,10,0,10
100,10,10,0,10
100,10,10,1,7
100,10,10,0,10
100,10,10,0,10
100,10,10,0,16
100,10,10,0,10
100,10,10,1,12
100,10,10,0,10
100,10,10,0,10
100,10,10,0,10
100,10,10,1,11
100,10,10,0,10
100,10,10,1,1
100,10,10,1,10
100,10,10,1,9
100,10,10,1,7
100,10,10,1,5
100,10,10,0,10
100,10,10,1,5
100,10,10,0,10
100,10,10,0,12
100,10,10,1,5
100,10,10,0,10
100,10,10,1,5
100,10,10,0,17
100,10,10,0,16
100,10,10,0,10
100,10,10,1,13
100,10,10,1,10
400,20,20,1,7
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,0,23
400,20,20,0,20
400,20,20,0,20
400,20,20,1,26
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,1,18
400,20,20,0,20
400,20,20,1,10
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,1,9
400,20,20,0,20
400,20,20,0,22
400,20,20,0,20
400,20,20,1,3
400,20,20,0,26
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,1,12
400,20,20,0,20
400,20,20,0,20
400,20,20,1,16
400,20,20,1,13
400,20,20,1,14
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,1,22
400,20,20,0,20
400,20,20,0,20
400,20,20,1,9
400,20,20,0,20
400,20,20,0,28
400,20,20,1,9
400,20,20,1,9
400,20,20,0,20
400,20,20,1,18
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,1,31
400,20,20,1,16
400,20,20,1,15
400,20,20,0,20
400,20,20,1,6
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,1,21
400,20,20,0,20
400,20,20,1,21
400,20,20,0,20
400,20,20,1,17
400,20,20,1,12
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,1,3
400,20,20,1,13
400,20,20,1,19
400,20,20,1,18
400,20,20,1,12
400,20,20,0,20
400,20,20,0,20
400,20,20,1,13
400,20,20,1,16
400,20,20,0,20
400,20,20,0,20
400,20,20,1,11
400,20,20,0,20
400,20,20,0,26
400,20,20,0,20
400,20,20,1,21
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,1,20
400,20,20,0,20
400,20,20,0,20
400,20,20,0,20
400,20,20,0,25
400,20,20,1,15
400,20,20,1,2
400,20,20,1,10
400,20,20,1,4
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,1,28
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,1,14
900,30,30,1,12
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,1,19
900,30,30,1,11
900,30,30,0,30
900,30,30,1,24
900,30,30,1,22
900,30,30,0,30
900,30,30,1,34
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,0,30
900,30,30,1,11
900,30,30,0,30
